index,LAUS,FIPS_state,FIPS_county,county_state,year,labor_force,employed,unemployed,unemployment_rate,county,state
1198,CN2401900000000,24.0,19.0,"Dorchester County, MD",2005,16998,16075,923,5.4,Dorchester , MD
1199,CN2402100000000,24.0,21.0,"Frederick County, MD",2005,120349,116571,3778,3.1,Frederick , MD
1200,CN2402300000000,24.0,23.0,"Garrett County, MD",2005,16519,15725,794,4.8,Garrett , MD
1201,CN2402500000000,24.0,25.0,"Harford County, MD",2005,129191,124093,5098,3.9,Harford , MD
1202,CN2402700000000,24.0,27.0,"Howard County, MD",2005,154170,149405,4765,3.1,Howard , MD
1203,CN2402900000000,24.0,29.0,"Kent County, MD",2005,10919,10462,457,4.2,Kent , MD
1204,CN2403100000000,24.0,31.0,"Montgomery County, MD",2005,504410,488676,15734,3.1,Montgomery , MD
1205,CN2403300000000,24.0,33.0,"Prince George's County, MD",2005,442341,422550,19791,4.5,Prince George's , MD
1206,CN2403500000000,24.0,35.0,"Queen Anne's County, MD",2005,25037,24160,877,3.5,Queen Anne's , MD
1207,CN2403700000000,24.0,37.0,"St. Mary's County, MD",2005,49151,47414,1737,3.5,St. Mary's , MD
1208,CN2403900000000,24.0,39.0,"Somerset County, MD",2005,11436,10745,691,6,Somerset , MD
1209,CN2404100000000,24.0,41.0,"Talbot County, MD",2005,18922,18184,738,3.9,Talbot , MD
1210,CN2404300000000,24.0,43.0,"Washington County, MD",2005,67796,64816,2980,4.4,Washington , MD
1211,CN2404500000000,24.0,45.0,"Wicomico County, MD",2005,51702,49509,2193,4.2,Wicomico , MD
1212,CN2404700000000,24.0,47.0,"Worcester County, MD",2005,27716,25885,1831,6.6,Worcester , MD
1213,CN2451000000000,24.0,510.0,"Baltimore city, MD",2005,272354,253539,18815,6.9,Baltimore city, MD
1214,CN2500100000000,25.0,1.0,"Barnstable County, MA",2005,122143,116121,6022,4.9,Barnstable , MA
1215,CN2500300000000,25.0,3.0,"Berkshire County, MA",2005,72664,69494,3170,4.4,Berkshire , MA
1216,CN2500500000000,25.0,5.0,"Bristol County, MA",2005,287829,270614,17215,6,Bristol , MA
1217,CN2500700000000,25.0,7.0,"Dukes County, MA",2005,10977,10545,432,3.9,Dukes , MA
1218,CN2500900000000,25.0,9.0,"Essex County, MA",2005,375771,356017,19754,5.3,Essex , MA
1219,CN2501100000000,25.0,11.0,"Franklin County, MA",2005,39577,37877,1700,4.3,Franklin , MA
1220,CN2501300000000,25.0,13.0,"Hampden County, MA",2005,224160,211095,13065,5.8,Hampden , MA
1221,CN2501500000000,25.0,15.0,"Hampshire County, MA",2005,87822,84266,3556,4,Hampshire , MA
1222,CN2501700000000,25.0,17.0,"Middlesex County, MA",2005,810099,777113,32986,4.1,Middlesex , MA
1223,CN2501900000000,25.0,19.0,"Nantucket County/town, MA",2005,8138,7940,198,2.4,Nantucket , MA
1224,CN2502100000000,25.0,21.0,"Norfolk County, MA",2005,355887,341107,14780,4.2,Norfolk , MA
1225,CN2502300000000,25.0,23.0,"Plymouth County, MA",2005,258416,245829,12587,4.9,Plymouth , MA
1226,CN2502500000000,25.0,25.0,"Suffolk County, MA",2005,332082,314372,17710,5.3,Suffolk , MA
1227,CN2502700000000,25.0,27.0,"Worcester County, MA",2005,398556,377703,20853,5.2,Worcester , MA
1228,CN2600100000000,26.0,1.0,"Alcona County, MI",2005,4296,3848,448,10.4,Alcona , MI
1229,CN2600300000000,26.0,3.0,"Alger County, MI",2005,4384,4049,335,7.6,Alger , MI
1230,CN2600500000000,26.0,5.0,"Allegan County, MI",2005,55028,51556,3472,6.3,Allegan , MI
1231,CN2600700000000,26.0,7.0,"Alpena County, MI",2005,15097,13956,1141,7.6,Alpena , MI
1232,CN2600900000000,26.0,9.0,"Antrim County, MI",2005,12103,11164,939,7.8,Antrim , MI
1233,CN2601100000000,26.0,11.0,"Arenac County, MI",2005,7824,7089,735,9.4,Arenac , MI
1234,CN2601300000000,26.0,13.0,"Baraga County, MI",2005,4131,3666,465,11.3,Baraga , MI
1235,CN2601500000000,26.0,15.0,"Barry County, MI",2005,30891,29298,1593,5.2,Barry , MI
1236,CN2601700000000,26.0,17.0,"Bay County, MI",2005,55557,51608,3949,7.1,Bay , MI
1237,CN2601900000000,26.0,19.0,"Benzie County, MI",2005,9135,8420,715,7.8,Benzie , MI
1238,CN2602100000000,26.0,21.0,"Berrien County, MI",2005,79071,73591,5480,6.9,Berrien , MI
1239,CN2602300000000,26.0,23.0,"Branch County, MI",2005,22721,21100,1621,7.1,Branch , MI
1240,CN2602500000000,26.0,25.0,"Calhoun County, MI",2005,71724,66925,4799,6.7,Calhoun , MI
1241,CN2602700000000,26.0,27.0,"Cass County, MI",2005,27659,26253,1406,5.1,Cass , MI
1242,CN2602900000000,26.0,29.0,"Charlevoix County, MI",2005,14363,13295,1068,7.4,Charlevoix , MI
1243,CN2603100000000,26.0,31.0,"Cheboygan County, MI",2005,13225,12020,1205,9.1,Cheboygan , MI
1244,CN2603300000000,26.0,33.0,"Chippewa County, MI",2005,17538,16024,1514,8.6,Chippewa , MI
1245,CN2603500000000,26.0,35.0,"Clare County, MI",2005,13482,12170,1312,9.7,Clare , MI
1246,CN2603700000000,26.0,37.0,"Clinton County, MI",2005,37266,35272,1994,5.4,Clinton , MI
1247,CN2603900000000,26.0,39.0,"Crawford County, MI",2005,6800,6313,487,7.2,Crawford , MI
1248,CN2604100000000,26.0,41.0,"Delta County, MI",2005,20300,18819,1481,7.3,Delta , MI
1249,CN2604300000000,26.0,43.0,"Dickinson County, MI",2005,14474,13637,837,5.8,Dickinson , MI
1250,CN2604500000000,26.0,45.0,"Eaton County, MI",2005,58653,55410,3243,5.5,Eaton , MI
1251,CN2604700000000,26.0,47.0,"Emmet County, MI",2005,20154,18550,1604,8,Emmet , MI
1252,CN2604900000000,26.0,49.0,"Genesee County, MI",2005,212686,195902,16784,7.9,Genesee , MI
1253,CN2605100000000,26.0,51.0,"Gladwin County, MI",2005,10902,9776,1126,10.3,Gladwin , MI
1254,CN2605300000000,26.0,53.0,"Gogebic County, MI",2005,7756,7144,612,7.9,Gogebic , MI
1255,CN2605500000000,26.0,55.0,"Grand Traverse County, MI",2005,48348,45460,2888,6,Grand Traverse , MI
1256,CN2605700000000,26.0,57.0,"Gratiot County, MI",2005,20309,18614,1695,8.3,Gratiot , MI
1257,CN2605900000000,26.0,59.0,"Hillsdale County, MI",2005,22353,20645,1708,7.6,Hillsdale , MI
1258,CN2606100000000,26.0,61.0,"Houghton County, MI",2005,17571,16423,1148,6.5,Houghton , MI
1259,CN2606300000000,26.0,63.0,"Huron County, MI",2005,17061,15750,1311,7.7,Huron , MI
1260,CN2606500000000,26.0,65.0,"Ingham County, MI",2005,152166,142407,9759,6.4,Ingham , MI
1261,CN2606700000000,26.0,67.0,"Ionia County, MI",2005,30924,28656,2268,7.3,Ionia , MI
1262,CN2606900000000,26.0,69.0,"Iosco County, MI",2005,10958,9953,1005,9.2,Iosco , MI
1263,CN2607100000000,26.0,71.0,"Iron County, MI",2005,5874,5438,436,7.4,Iron , MI
1264,CN2607300000000,26.0,73.0,"Isabella County, MI",2005,37989,36097,1892,5,Isabella , MI
1265,CN2607500000000,26.0,75.0,"Jackson County, MI",2005,78307,72944,5363,6.8,Jackson , MI
1266,CN2607700000000,26.0,77.0,"Kalamazoo County, MI",2005,132576,125622,6954,5.2,Kalamazoo , MI
1267,CN2607900000000,26.0,79.0,"Kalkaska County, MI",2005,8774,8110,664,7.6,Kalkaska , MI
1268,CN2608100000000,26.0,81.0,"Kent County, MI",2005,321655,302857,18798,5.8,Kent , MI
1269,CN2608300000000,26.0,83.0,"Keweenaw County, MI",2005,1064,951,113,10.6,Keweenaw , MI
1270,CN2608500000000,26.0,85.0,"Lake County, MI",2005,4388,3930,458,10.4,Lake , MI
1271,CN2608700000000,26.0,87.0,"Lapeer County, MI",2005,45788,42344,3444,7.5,Lapeer , MI
1272,CN2608900000000,26.0,89.0,"Leelanau County, MI",2005,11576,10976,600,5.2,Leelanau , MI
1273,CN2609100000000,26.0,91.0,"Lenawee County, MI",2005,49734,46189,3545,7.1,Lenawee , MI
1274,CN2609300000000,26.0,93.0,"Livingston County, MI",2005,96140,91165,4975,5.2,Livingston , MI
1275,CN2609500000000,26.0,95.0,"Luce County, MI",2005,2834,2615,219,7.7,Luce , MI
1276,CN2609700000000,26.0,97.0,"Mackinac County, MI",2005,6509,5849,660,10.1,Mackinac , MI
1277,CN2609900000000,26.0,99.0,"Macomb County, MI",2005,428038,399805,28233,6.6,Macomb , MI
1278,CN2610100000000,26.0,101.0,"Manistee County, MI",2005,12157,11188,969,8,Manistee , MI
1279,CN2610300000000,26.0,103.0,"Marquette County, MI",2005,35566,33490,2076,5.8,Marquette , MI
1280,CN2610500000000,26.0,105.0,"Mason County, MI",2005,15205,14013,1192,7.8,Mason , MI
1281,CN2610700000000,26.0,107.0,"Mecosta County, MI",2005,20188,18705,1483,7.3,Mecosta , MI
1282,CN2610900000000,26.0,109.0,"Menominee County, MI",2005,13293,12583,710,5.3,Menominee , MI
1283,CN2611100000000,26.0,111.0,"Midland County, MI",2005,41907,39428,2479,5.9,Midland , MI
1284,CN2611300000000,26.0,113.0,"Missaukee County, MI",2005,6720,6217,503,7.5,Missaukee , MI
1285,CN2611500000000,26.0,115.0,"Monroe County, MI",2005,77855,73029,4826,6.2,Monroe , MI
1286,CN2611700000000,26.0,117.0,"Montcalm County, MI",2005,29471,26895,2576,8.7,Montcalm , MI
1287,CN2611900000000,26.0,119.0,"Montmorency County, MI",2005,4301,3780,521,12.1,Montmorency , MI
1288,CN2612100000000,26.0,121.0,"Muskegon County, MI",2005,90054,83745,6309,7,Muskegon , MI
1289,CN2612300000000,26.0,123.0,"Newaygo County, MI",2005,23425,21667,1758,7.5,Newaygo , MI
1290,CN2612500000000,26.0,125.0,"Oakland County, MI",2005,642576,607355,35221,5.5,Oakland , MI
1291,CN2612700000000,26.0,127.0,"Oceana County, MI",2005,14393,13221,1172,8.1,Oceana , MI
1292,CN2612900000000,26.0,129.0,"Ogemaw County, MI",2005,9884,9126,758,7.7,Ogemaw , MI
1293,CN2613100000000,26.0,131.0,"Ontonagon County, MI",2005,3578,3313,265,7.4,Ontonagon , MI
1294,CN2613300000000,26.0,133.0,"Osceola County, MI",2005,10242,9459,783,7.6,Osceola , MI
1295,CN2613500000000,26.0,135.0,"Oscoda County, MI",2005,3957,3537,420,10.6,Oscoda , MI
1296,CN2613700000000,26.0,137.0,"Otsego County, MI",2005,12957,12041,916,7.1,Otsego , MI
1297,CN2613900000000,26.0,139.0,"Ottawa County, MI",2005,136228,129095,7133,5.2,Ottawa , MI
1298,CN2614100000000,26.0,141.0,"Presque Isle County, MI",2005,6222,5520,702,11.3,Presque Isle , MI
1299,CN2614300000000,26.0,143.0,"Roscommon County, MI",2005,11205,10253,952,8.5,Roscommon , MI
1300,CN2614500000000,26.0,145.0,"Saginaw County, MI",2005,98365,90520,7845,8,Saginaw , MI
1301,CN2614700000000,26.0,147.0,"St. Clair County, MI",2005,85725,79111,6614,7.7,St. Clair , MI
1302,CN2614900000000,26.0,149.0,"St. Joseph County, MI",2005,30942,28946,1996,6.5,St. Joseph , MI
1303,CN2615100000000,26.0,151.0,"Sanilac County, MI",2005,22187,20371,1816,8.2,Sanilac , MI
1304,CN2615300000000,26.0,153.0,"Schoolcraft County, MI",2005,4070,3633,437,10.7,Schoolcraft , MI
1305,CN2615500000000,26.0,155.0,"Shiawassee County, MI",2005,36739,33817,2922,8,Shiawassee , MI
1306,CN2615700000000,26.0,157.0,"Tuscola County, MI",2005,29259,26868,2391,8.2,Tuscola , MI
1307,CN2615900000000,26.0,159.0,"Van Buren County, MI",2005,40873,37996,2877,7,Van Buren , MI
1308,CN2616100000000,26.0,161.0,"Washtenaw County, MI",2005,189926,181459,8467,4.5,Washtenaw , MI
1309,CN2616300000000,26.0,163.0,"Wayne County, MI",2005,910762,835251,75511,8.3,Wayne , MI
1310,CN2616500000000,26.0,165.0,"Wexford County, MI",2005,14753,13622,1131,7.7,Wexford , MI
